3,217.0,60.0,18.4,54.9,130.0,80.0,21.3,75.24,172.3,27.0
1,229.0,53.0,16.3,36.4,126.0,77.0,15.7,55.8,165.0,25.0
3,181.0,49.0,12.0,44.8,152.0,92.0,20.1,78.0,179.6,31.0
2,219.0,53.0,15.2,41.4,147.0,76.0,18.4,71.1,174.5,32.0
2,217.0,45.0,27.1,43.5,127.0,70.0,17.1,67.7,173.8,28.0
2,153.0,27.0,21.0,23.8,119.0,64.0,22.0,55.4,165.4,36.0
4,146.0,18.0,0.8,22.7,135.0,72.0,32.2,63.7,164.5,42.0
2,234.0,42.0,12.3,45.9,137.0,84.0,36.9,77.2,174.9,33.0
3,148.0,34.0,18.6,40.4,165.0,85.0,27.6,67.5,166.8,54.0
2,213.0,55.0,12.1,57.9,156.0,81.0,14.4,84.6,185.0,28.0
1,211.0,68.0,16.0,43.5,110.0,63.0,19.3,65.4,169.2,42.0
4,90.0,0.0,30.0,21.5,106.0,69.0,20.9,49.0,153.0,57.0
3,144.0,28.0,13.1,23.1,116.0,69.0,35.5,53.9,156.0,27.0
3,232.0,55.0,19.2,52.5,103.0,71.0,11.3,67.9,175.7,22.0
3,213.0,54.0,7.2,48.9,120.0,80.0,20.4,84.4,181.0,24.0
1,155.0,30.0,19.0,34.1,144.0,93.0,30.9,63.1,159.0,45.0
3,178.0,39.0,22.9,25.7,120.0,82.0,30.2,66.6,164.2,25.0
1,239.0,61.0,17.8,59.6,135.0,64.0,9.7,71.5,179.9,26.0
2,225.0,53.0,15.1,41.3,129.0,63.0,21.0,70.6,169.2,26.0
2,137.0,36.0,20.5,25.4,133.0,78.0,18.9,47.2,162.7,21.0
3,160.0,39.0,10.7,25.0,128.0,89.0,31.3,63.36,161.7,25.0
1,122.0,25.0,29.1,36.8,143.0,76.0,30.2,62.7,155.9,59.0
4,215.0,62.0,19.7,26.1,111.0,70.0,23.2,67.3,166.7,38.0
2,196.0,49.0,11.6,44.5,115.0,65.0,12.9,63.3,170.0,44.0
3,169.0,32.0,27.5,24.6,126.0,91.0,29.6,59.4,164.1,23.0
3,131.0,43.0,4.0,39.3,146.0,96.0,30.5,70.7,169.0,62.0
4,151.0,32.0,8.1,25.9,117.0,70.0,29.2,53.5,158.3,47.0
4,211.0,24.0,3.7,33.8,125.0,83.0,31.4,84.5,175.8,48.0
3,232.0,54.0,8.1,46.2,139.0,81.0,24.5,81.3,176.0,36.0
1,143.0,30.0,24.4,30.8,103.0,63.0,24.4,57.1,159.8,50.0
3,246.0,38.0,26.4,36.4,127.0,80.0,15.7,70.7,170.9,25.0
3,223.0,51.0,9.1,50.0,129.0,66.0,16.3,77.2,176.7,26.0
1,145.0,37.0,23.0,37.2,123.0,82.0,24.5,51.54,159.5,28.0
4,192.0,40.0,-2.0,34.7,148.0,91.0,26.7,79.5,172.1,30.0
2,154.0,39.0,21.3,23.8,144.0,77.0,27.6,52.0,151.5,49.0
3,224.0,54.0,12.1,51.5,138.0,93.0,20.3,88.6,177.6,40.0
4,178.0,46.0,6.3,51.2,130.0,82.0,12.5,66.4,172.5,21.0
1,208.0,62.0,18.4,51.2,148.0,90.0,23.0,79.5,177.5,31.0
1,232.0,62.0,16.2,52.3,130.0,68.0,21.2,84.5,178.0,32.0
4,219.0,59.0,1.8,48.0,108.0,59.0,22.8,79.7,177.6,27.0
4,230.0,32.0,1.0,28.9,151.0,94.0,14.9,61.0,168.0,42.0
4,185.0,43.0,9.0,42.0,144.0,93.0,30.3,84.9,173.6,52.0
3,227.0,38.0,18.2,40.0,137.0,76.0,23.8,69.8,173.3,39.0
3,129.0,24.0,22.2,21.9,106.0,62.0,32.1,60.5,159.6,33.0
1,190.0,50.0,26.6,29.3,115.0,74.0,21.7,57.7,161.8,25.0
4,249.0,37.0,14.5,45.0,145.0,97.0,19.2,73.1,169.9,31.0
2,220.0,55.0,14.2,46.3,120.0,80.0,16.3,76.82,183.6,34.0
4,159.0,44.0,-9.9,19.9,102.0,62.0,24.9,66.1,172.1,26.0
1,247.0,55.0,18.8,52.6,147.0,83.0,15.0,82.1,180.1,28.0
2,205.0,38.0,18.3,36.8,150.0,93.0,19.8,64.0,164.2,58.0
1,246.0,55.0,24.7,51.4,149.0,94.0,14.7,75.4,169.8,48.0
1,234.0,56.0,18.1,45.4,130.0,72.0,14.4,65.9,180.1,23.0
3,139.0,19.0,14.7,25.1,106.0,64.0,27.3,51.7,157.2,38.0
2,164.0,33.0,20.2,32.1,139.0,88.0,31.9,69.3,168.3,43.0
4,105.0,5.0,2.1,16.6,122.0,80.0,35.8,51.3,159.5,21.0
2,198.0,30.0,17.8,41.6,147.0,90.0,16.5,56.9,166.7,56.0
3,232.0,43.0,16.2,40.2,110.0,63.0,17.1,66.2,164.4,24.0
3,111.0,20.0,17.4,18.7,127.0,71.0,32.9,46.4,146.5,58.0
4,153.0,25.0,3.6,50.7,123.0,78.0,30.5,103.1,174.1,42.0
